country,project,submission_date,activity,subactivity,indicator_id,indicator_level,indicator,classification,unit,baseline,actual_to_date,end_of_compact_target,percent_complete_to_date,notes
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 1: Irrigation Infrastructure,N/A,ARMENIA_IRRIGATED AGRICULTURE_0009,Output,Pumping stations renovated,Cumulative,Number,0,17,17,100%,
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 1: Irrigation Infrastructure,N/A,ARMENIA_IRRIGATED AGRICULTURE_0010,Output,Gravity canals rehabilitated ,Cumulative,Kilometers,0,49.5,44.5,111%,
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 1: Irrigation Infrastructure,N/A,ARMENIA_IRRIGATED AGRICULTURE_0011,Output,Conversion from pumping to gravity completed,Cumulative,Number,0,5,4,125%,
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 1: Irrigation Infrastructure,N/A,ARMENIA_IRRIGATED AGRICULTURE_0012,Output,Tertiary canals rehabilitated,Cumulative,Kilometers,0,232.8,220,106%,
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 1: Irrigation Infrastructure,N/A,ARMENIA_IRRIGATED AGRICULTURE_0013,Output,Drainage systems rehabilitated,Cumulative,Number,0,13,13,100%,
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 1: Irrigation Infrastructure,N/A,ARMENIA_IRRIGATED AGRICULTURE_0014,Output,Drainage canals cleaned,Cumulative,Kilometers,0,470,470,100%,
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 1: Irrigation Infrastructure,N/A,ARMENIA_IRRIGATED AGRICULTURE_0015,Output,Temporary employment generated in irrigation,Cumulative,Number,,"2,389",,,
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 1: Irrigation Infrastructure,N/A,ARMENIA_IRRIGATED AGRICULTURE_0016,Process,Value of irrigation feasibility and/or detailed design contracts signed,Cumulative,US Dollars,0,"4,601,073","4,522,864",102%,"As explained by the Irrigation team, the value dropping in Q17 and Q18 was due to contract amendments. 
"
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 1: Irrigation Infrastructure,N/A,ARMENIA_IRRIGATED AGRICULTURE_0017,Process,Value of irrigation feasibility and/or detailed design contracts disbursed,Cumulative,US Dollars,0,"4,601,073","4,522,864",102%,
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 1: Irrigation Infrastructure,N/A,ARMENIA_IRRIGATED AGRICULTURE_0018,Process,Value of all irrigation construction contracts signed,Cumulative,US Dollars,0,"106,653,443","93,656,907",114%,"As explained by the Irrigation team, the value dropping in Q15 was due to contract amendments. "
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 1: Irrigation Infrastructure,N/A,ARMENIA_IRRIGATED AGRICULTURE_0019,Process,Value of irrigation infrastructure contracted works disbursed,Cumulative,US Dollars,0,"106,653,443","93,656,907",114%,
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 1: Irrigation Infrastructure,N/A,ARMENIA_IRRIGATED AGRICULTURE_0020,Process,Complete Environmental and Hydrological Study on the Ararat Valley,Cumulative,Date,,13-Sep-08,31-May-08,Complete,
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 1: Irrigation Infrastructure,N/A,ARMENIA_IRRIGATED AGRICULTURE_0021,Process,Develop two options for Re-scoping of the Irrigation Infrastructure Activity,Cumulative,Date,,1-Aug-08,31-May-08,Complete,
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 1: Irrigation Infrastructure,N/A,ARMENIA_IRRIGATED AGRICULTURE_0022,Process,Preliminary designs complete for drainage,Cumulative,Date,,30-Mar-10,30-Sep-09,Complete,
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 1: Irrigation Infrastructure,N/A,ARMENIA_IRRIGATED AGRICULTURE_0023,Process,Develop first EIA and/or RAP for the first gravity package of the Irrigation Infrastructure Activity,Cumulative,Date,,20-Feb-09,26-Sep-08,Complete,
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 2: Water-to-Market,Sub-Activity 1: Improved Profitability of WUA Members,ARMENIA_IRRIGATED AGRICULTURE_0024,Outcome,Number of farmers using better on-farm water management,Cumulative,Number,0,"26,424","25,954",102%,"This indicator measures use of new practices by farmers trained, but does not take into account use of new practices that would have happened without the project."
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 2: Water-to-Market,Sub-Activity 1: Improved Profitability of WUA Members,ARMENIA_IRRIGATED AGRICULTURE_0025,Outcome,Number of farmers using better on-farm water management (Female),Cumulative,Number,0,"7,816",,,"This indicator measures use of new practices by farmers trained, but does not take into account use of new practices that would have happened without the project."
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 2: Water-to-Market,Sub-Activity 1: Improved Profitability of WUA Members,ARMENIA_IRRIGATED AGRICULTURE_0026,Outcome,Number of farmers using better HVA practices,Cumulative,Number,0,"27,211","18,858",144%,"This indicator measures use of new practices by farmers trained, but does not take into account use of new practices that would have happened without the project."
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 2: Water-to-Market,Sub-Activity 1: Improved Profitability of WUA Members,ARMENIA_IRRIGATED AGRICULTURE_0027,Outcome,Number of farmers using better HVA practices (Female),Cumulative,Number,0,"7,881",,,"This indicator measures use of new practices by farmers trained, but does not take into account use of new practices that would have happened without the project."
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 2: Water-to-Market,Sub-Activity 1: Improved Profitability of WUA Members,ARMENIA_IRRIGATED AGRICULTURE_0028,Outcome,Number of enterprises that have applied improved techniques,Cumulative,Number,0,178,112,159%,"This indicator measures use of new practices by enterprises assisted, but does not take into account use of new practices that would have happened without the project."
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 2: Water-to-Market,Sub-Activity 1: Improved Profitability of WUA Members,ARMENIA_IRRIGATED AGRICULTURE_0029,Output,Training/technical assistance provided for OFWM,Cumulative,Number,0,"45,639","45,000",101%,
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 2: Water-to-Market,Sub-Activity 1: Improved Profitability of WUA Members,ARMENIA_IRRIGATED AGRICULTURE_0030,Output,Training/technical assistance provided for OFWM (Female),Cumulative,Number,0,"14,520",,,
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 2: Water-to-Market,Sub-Activity 1: Improved Profitability of WUA Members,ARMENIA_IRRIGATED AGRICULTURE_0031,Output,Training/technical assistance provided for HVA,Cumulative,Number,0,"36,070","36,000",100%,
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 2: Water-to-Market,Sub-Activity 1: Improved Profitability of WUA Members,ARMENIA_IRRIGATED AGRICULTURE_0032,Output,Training/technical assistance provided for HVA (Female),Cumulative,Number,0,"12,189",,,
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 2: Water-to-Market,Sub-Activity 1: Improved Profitability of WUA Members,ARMENIA_IRRIGATED AGRICULTURE_0033,Output,Training/technical assistance provided for PPM,Cumulative,Number,0,227,225,101%,
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 2: Water-to-Market,Sub-Activity 1: Improved Profitability of WUA Members,ARMENIA_IRRIGATED AGRICULTURE_0034,Process,Complete EMP annual update,Date,Date,,7-Dec-09, 31-Sep-2010 ,Complete,
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 2: Water-to-Market,Sub-Activity 2: Credit,ARMENIA_IRRIGATED AGRICULTURE_0035,Output,Loans provided,Cumulative,US Dollars,0,"12,700,142","8,500,000",149%,
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 2: Water-to-Market,Sub-Activity 2: Credit,ARMENIA_IRRIGATED AGRICULTURE_0036,Output,Loan borrowers,Cumulative,Number,,"1,008",N/A,,"This number includes both enterprises and individual loan borrowers. The final number was changed from what was used during close-out (1,082) after a minor mistake had been found."
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 2: Water-to-Market,Sub-Activity 2: Credit,ARMENIA_IRRIGATED AGRICULTURE_0037,Output,Female loan borrowers,Cumulative,Number,,106,N/A,,Actual for this indicator is derived from the total number of individual loan borrowers.
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 2: Water-to-Market,Sub-Activity 2: Credit,ARMENIA_IRRIGATED AGRICULTURE_0038,Process,Conduct second dutch auction,Date,Date,,30-Apr-09, 29-Sep-2008 ,Complete,
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 2: Water-to-Market,Sub-Activity 2: Credit,ARMENIA_IRRIGATED AGRICULTURE_0039,Process,Conduct initial dutch auction,Date,Date,,22-Feb-08, 22-Feb-2008 ,Complete,
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 2: Water-to-Market,Sub-Activity 2: Credit,ARMENIA_IRRIGATED AGRICULTURE_0040,Process,Develop an action plan for capacity building for credit providers,Date,Date,,18-Dec-08, 9-Apr-2008 ,Complete,
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 2: Water-to-Market,Sub-Activity 2: Credit,ARMENIA_IRRIGATED AGRICULTURE_0041,Process,Develop an action plan for capacity building for credit end-borrowers,Date,Date,,18-Dec-08, 9-Jun-2008 ,Complete,
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 2: Water-to-Market,Sub-Activity 2: Credit,ARMENIA_IRRIGATED AGRICULTURE_0042,Process,Sign IEA with the rural finance facility,Date,Date,,16-Oct-07, 16-Oct-2007 ,Complete,
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 2: Water-to-Market,Sub-Activity 3: Institutional Strengthening,ARMENIA_IRRIGATED AGRICULTURE_0043,Outcome,Recovery of WUA operations and maintenance cost by water charges,Level,Percentage,36.7,47.5,60,46%,"No, 48.1 represents 2010 data. The 2011 actual for this indicator will be reported in 2012."
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 2: Water-to-Market,Sub-Activity 3: Institutional Strengthening,ARMENIA_IRRIGATED AGRICULTURE_0044,Outcome,Increased collection of irrigation service fee for the water used,Level,Percentage,51,67.1,55,342%,"No, 68.7 represents 2010 data. The 2011 actual for this indicator will be reported in 2012."
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 2: Water-to-Market,Sub-Activity 3: Institutional Strengthening,ARMENIA_IRRIGATED AGRICULTURE_0045,Outcome,Percentage of WUA disputes resolved by the Dispute Resolution Committee (DRC) for the 8 targeted WUAs,Level,Percentage,0.001,9.8,15,65%,No. 9.8 represents 2010 data. The 2011 actual for this indicator will be reported in 2012.
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 2: Water-to-Market,Sub-Activity 3: Institutional Strengthening,ARMENIA_IRRIGATED AGRICULTURE_0046,Output,MIPs developed,Cumulative,Number,0,44,44,100%,
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 2: Water-to-Market,Sub-Activity 3: Institutional Strengthening,ARMENIA_IRRIGATED AGRICULTURE_0047,Process,Complete institutional strengthening needs assessment for WUAs,Date,Date,,30-Sep-09,31-Jul-2008,Complete,
Armenia,Irrigated Agriculture,"November 29, 2011",Activity 2: Water-to-Market,Sub-Activity 3: Institutional Strengthening,ARMENIA_IRRIGATED AGRICULTURE_0048,Process,Complete inception report and work plan from the institutional strengthening firm,Date,Date,,5-Dec-08,18-Apr-2008,Complete,
Armenia,Road Rehabilitation,"November 29, 2011",All Activities,N/A,ARMENIA_ROAD REHABILITATION_0001,Outcome,International Roughness Index (IRI) for pilot roads,Level,Meters per Kilometer,14.16,3.47,4,105%,
Armenia,Road Rehabilitation,"November 29, 2011",All Activities,N/A,ARMENIA_ROAD REHABILITATION_0002,Outcome,Average daily traffic on pilot roads,Level,Number,637,735,706,142%,
Armenia,Road Rehabilitation,"November 29, 2011",All Activities,N/A,ARMENIA_ROAD REHABILITATION_0003,Outcome,Government budgetary allocations for rehabilitation of road sections in the road lifeline network,Level,Armenian Drams,,"5,814,080","3,310,000",176%,This data is from 2008 State Budget which is reported in 2009. It includes roads construction works.
Armenia,Road Rehabilitation,"November 29, 2011",All Activities,N/A,ARMENIA_ROAD REHABILITATION_0004,Outcome,Government budgetary allocations for routine maintenance of the entire road network,Level,Armenian Drams,,"6,308,961","6,290,000",100%,This data is from 2008 State Budget which is reported in 2009. It includes roads maintenance works.
Armenia,Road Rehabilitation,"November 29, 2011",All Activities,N/A,ARMENIA_ROAD REHABILITATION_0005,Output,Pilot road sections rehabilitated,Cumulative,Kilometers,0,24.4,24.4,100%,"The original target was 943 based on original M&E plan, but the target was revised to 24.4 after the project was put on hold."
Armenia,Road Rehabilitation,"November 29, 2011",All Activities,N/A,ARMENIA_ROAD REHABILITATION_0006,Process,Package 1: final design and EA/EMP documents for Package 1,Date,Date,,18-Oct-2007,17-Oct-2007,Complete,
Armenia,Road Rehabilitation,"November 29, 2011",All Activities,N/A,ARMENIA_ROAD REHABILITATION_0007,Process,Package 1: receive mobilization report from the supervision firm for Package 1,Date,Date,,23-Apr-2008,3-Apr-2008,Complete,
Armenia,Road Rehabilitation,"November 29, 2011",All Activities,N/A,ARMENIA_ROAD REHABILITATION_0008,Process,Package 1: mobilization of construction contractor for Package 1,Date,Date,,1-Sept-2008,30-Apr-2008,Complete,
Armenia,Road Rehabilitation,"November 29, 2011",All Activities,N/A,ARMENIA_ROAD REHABILITATION_0009,Process,Package 2: final design and EA/EMP documents for Package 2,Date,Date,,26-May-2008,30-Apr-2008,Complete,
Armenia,Road Rehabilitation,"November 29, 2011",All Activities,N/A,ARMENIA_ROAD REHABILITATION_0010,Process,Package 1: percent of contracted roads works disbursed,Cumulative,Percentage,0,20,25,80%,
Armenia,Road Rehabilitation,"November 29, 2011",All Activities,N/A,ARMENIA_ROAD REHABILITATION_0011,Process,Pilot Roads: percent of contracted roads works disbursed of work complete,Cumulative,Percentage,0,100,100,100%,
Cape Verde,All Projects and Activities,,All Activities,N/A,CAPE VERDE_ALL PROJECTS AND ACTIVITIES_0001,Goal,Increase in Annual Income,Level,USD,0,,6.9,,
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0001,Output,"USD value of contracts for Port feasibility, design, supervision and program management signed ",Cumulative,USD,0,"7,190,000",,,
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0002,Output,"USD value of contracts for Port feasibility, design, supervision and program management disbursed",Cumulative,USD,0,"6,420,000",,,"MCA's reporting as of the last submission date; i.e., 13Dec10."
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0003,Output,"Percent of contracts for Port feasibility, design, supervision and program management signed works disbursed against signed",Cumulative,Percentage,0,89.3,100,89%,"MCA's reporting as of the last submission date; i.e., 13Dec10."
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0004,Output,USD value of Port works contracts signed ,Level,USD,0,"44,400,000",,,
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0005,Output,USD value of Port works contracts disbursed ,Cumulative,USD,0,"39,900,000","44,033,620",91%,"MCA's reporting as of the last submission date; i.e., 13Dec10."
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0006,Output,Port of Praia: Percent of contracted works disbursed ,Cumulative,Percentage,0,89.86,100,90%,"MCA's reporting as of the last submission date; i.e., 13Dec10."
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0007,Process,Contract for Phase I works signed,Date,Date,,30-Sep-08,31-Jul-08,Complete,
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0008,Process,BCEOM submits final design for Phase II works ,Date,Date,,22-Dec-08,7-Aug-08,Complete,
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0009,Process,Site installation complete ,Date,Date,,31-Dec-08,23-Oct-08,Complete,
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0010,Output,"USD value of Road/Brdges works feasibility, design, supervision and program management contracts signed ",Cumulative,USD,0,"3,520,000",,,
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0011,Output,"USD value of Road/Brdges works feasibility, design, supervision and program management contracts disbursed ",Cumulative,USD,0,"3,230,000",,,
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0012,Output,Percent disbursed for contracted Roads/Bridges studies,Cumulative,Percentage,0,91.8,100,92%,"MCA's reporting as of the last submission date; i.e., 13Dec10."
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0013,Output,USD value of Road/Bridges works contracts signed ,Cumulative,USD,0,"24,280,000",,,
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0014,Output,USD value of Road/Bridges works contracts disbursed ,Cumulative,USD,0,"24,279,171",,,
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0015,Output,Percent of contracted Roads/Bridges works disbursed,Cumulative,Percentage,0,100,100,100%,
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0016,Output,Kilometers (km) of Roads/Bridge under design ,Cumulative,Kilometers,0,63.4,63,100%,
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0017,Output,Kilometers (km) of Roads/Bridges under works contracts ,Cumulative,Kilometers,0,40.6,41,100%,
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0018,Output,Kilometers (km) of roads/bridges completed ,Cumulative,Kilometers,0,40.6,41,100%,
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0019,Outcome,Number of days per year that bridges are not passable ,Level,Number,8,0,0,100%,
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0020,Outcome,Roughness Road 1 (Orgãos - Pedra Badejo) ,Level,Index,19,2,2,100%,Based on World Bank visual inspection guidelines.
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0021,Outcome,Roughness Road 2 (Cruz Grande - Calhetona) ,Level,Index,18,2,2,100%,Based on World Bank visual inspection guidelines.
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0022,Outcome,Roughness Road 4 (Assomada - Rincão) ,Level,Index,20.7,2,2,100%,Based on World Bank visual inspection guidelines.
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0023,Outcome,Roughness Road 4A (Assomada - Chã de Tanque) ,Level,Index,20.7,2,2,100%,Based on World Bank visual inspection guidelines.
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0024,Outcome,Roughness Road 4B (Chã de Tanque - Rincão) ,Level,Index,20.7,2,2,100%,Based on World Bank visual inspection guidelines.
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0025,Outcome,Roughness Road Vila das Pombas - Eito (Bridge B + Road Eito) ,Level,Index,18,2,10,200%,Based on World Bank visual inspection guidelines.
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0026,Outcome,Average Annual Daily Traffic Road 1 (Orgãos - Pedra Badejo) ,Level,Number,298,432,375,174%,
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0027,Outcome,Average Annual Daily Traffic Road 2 (Cruz Grande - Calhetona) ,Level,Number,440,235,554,-180%,
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0028,Outcome,Average Annual Daily Traffic Road 4 (Assomada – Rincão),Level,Number,543,268,684,-195%,
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0029,Outcome,Average Annual Daily Traffic Road 4A (Assomada – Chã de Tanque),Level,Number,46,79,58,275%,
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0030,Outcome,Average Annual Daily Traffic Road 4B (Chã de Tanque – Rincão) ,Level,Number,497,50,626,-347%,
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0031,Outcome,Average Annual Daily Traffic Bridge Ribeira Grande - Paul ,Level,Number,552,76,695,-333%,
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0032,Outcome,Average Annual Daily Traffic Bridge Ribeira da Torre . Ponta de Sol ,Level,Number,765,644,963,-61%,
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0033,Outcome,Average Annual Daily Traffic Bridge A Paul (Vila das Pombas) ,Level,Number,671,50,845,-357%,
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0034,Outcome,Average Annual Daily Traffic Road Vila das Pombas - Eito (Bridge B + Road Eito),Level,Number,410,184,517,-211%,
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0035,Objective,Mobility ratio: Percentage of beneficiary population who take at least 5 trips per month ,Level,Percentage,52,70,65,108%,
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0036,Objective,Travel time ratio: Percentage of beneficiary population further than 30 minutes from nearest market,Level,Percentage,54,7.3,48,778%,
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0037,Objective,Savings on transport costs from upgraded roads and bridge improvements,Cumulative,USD,0,1.9,1.9,100%,
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0038,Process,All compromise agreements signed or expropriation process completed for Road 2,Date,Date,,11-Aug-08,31-Jul-08,Complete,
Cape Verde,Infrastructure,,All Activities,N/A,CAPE VERDE_INFRASTRUCTURE_0039,Process,All compromise agreements signed for Road 1,Date,Date,,11-Aug-08,30-Jun-08,Complete,
Cape Verde,Private Sector Development,"September 10, 2010",All Activities,N/A,CAPE VERDE_PRIVATE SECTOR DEVELOPMENT_0001,Outcome Indicator,MFI Gross Loan Portfolio (Level),Level,Thousand $ECV,"223,101","385,568","323,000",163%,
Cape Verde,Private Sector Development,"September 10, 2010",All Activities,N/A,CAPE VERDE_PRIVATE SECTOR DEVELOPMENT_0002,Outcome Indicator,MFI Gross Loan Portfolio; Adjusted (Level),Level,Thousand $ECV,"152,528","272,966","222,000",173%,
Cape Verde,Private Sector Development,"September 10, 2010",All Activities,N/A,CAPE VERDE_PRIVATE SECTOR DEVELOPMENT_0003,Outcome Indicator,MFI Portfolio at Risk above 30 days; Adjusted (Level),Level,Percentage,16,10.1,14,295%,
Cape Verde,Private Sector Development,"September 10, 2010",All Activities,N/A,CAPE VERDE_PRIVATE SECTOR DEVELOPMENT_0004,Outcome Indicator,Ratio of MFI's operationally self-sufficient (Level),Level,Ratio,2/5,5/5,4/5,150%,
Cape Verde,Private Sector Development,"September 10, 2010",All Activities,N/A,CAPE VERDE_PRIVATE SECTOR DEVELOPMENT_0005,Outcome Indicator,Ratio of MFI's financially self-sufficient (Level),Level,Ratio,0/5,3/5,3/5,100%,
Cape Verde,Private Sector Development,"September 10, 2010",All Activities,N/A,CAPE VERDE_PRIVATE SECTOR DEVELOPMENT_0006,Process Milestone,Signature of Memorandum of Understanding with CSCC (Conselho Superior de Camara de Comercio) (Date),Date,Date,,12-Feb-09,6-Jun-08,Complete,
Cape Verde,Private Sector Development,"September 10, 2010",All Activities,N/A,CAPE VERDE_PRIVATE SECTOR DEVELOPMENT_0007,Process Milestone,Tender Documents approved and issued,Date,Date,,24-Mar-10,5-Dec-08,Complete,
Cape Verde,Private Sector Development,"September 10, 2010",All Activities,N/A,CAPE VERDE_PRIVATE SECTOR DEVELOPMENT_0008,Process Milestone,MCA CV approves Institutional Development Plans,Date,Date,,18-Dec-08,3-Oct-08,Complete,
Cape Verde,Private Sector Development,"September 10, 2010",All Activities,N/A,CAPE VERDE_PRIVATE SECTOR DEVELOPMENT_0009,Process Milestone,MCA accepts Q18 Progress Report ,Date,Date,,14-Aug-10,26-May-10,Complete,
Cape Verde,Private Sector Development,"September 10, 2010",All Activities,N/A,CAPE VERDE_PRIVATE SECTOR DEVELOPMENT_0010,Process Milestone,Legislation modified permitting sale of securities to individuals,Date,Date,,5-Nov-09,30-Sep-08,Complete,
Cape Verde,Wstershed Management and Agricultural Support Project,"September 10, 2010",All Activities,N/A,CAPE VERDE_WSTERSHED MANAGEMENT AND AGRICULTURAL SUPPORT PROJECT_0001,Objective,Productivity: Horticulture (Faja),Level,Tons per Hectare,10.2,,14,0%,
Cape Verde,Wstershed Management and Agricultural Support Project,"September 10, 2010",All Activities,N/A,CAPE VERDE_WSTERSHED MANAGEMENT AND AGRICULTURAL SUPPORT PROJECT_0002,Objective,Productivity: Horticulture (Mosteiros),Level,Tons per Hectare,8,,11,0%,
