country,project,activity,outcome
Philippines,KALAHI-CIDSS Project,Community Development Grant Activity,
Philippines,Secondary National Roads Development Project,Samar Road Activity,
Philippines,Revenue Administration Reform Project,eTIS Activity,
Philippines,Revenue Administration Reform Project,Automated Audit Tools Activity,
Philippines,Revenue Administration Reform Project,RIPS Activity,
Senegal,Road Rehabilitation Project,All Roads Activities,Outcome: Reduced travel time and improved road quality
Senegal,Road Rehabilitation Project,National Road 2 Activity,Outcome: Reduced travel time and improved road quality
Senegal,Road Rehabilitation Project,National Road 6 Activity,Outcome: Reduced travel time and improved road quality
Senegal,Irrigation and Water Resource Management Project,All Irrigation Activities,Outcomes: Improved access to water for irrigation Increased efficiency of water infrastructure
Senegal,Irrigation and Water Resource Management Project,Delta Activity,Outcome: Improved irrigation and drainage channels in the Delta
Senegal,Irrigation and Water Resource Management Project,Podor (Ngallenka) Activity,Outcome: Primary and secondary irrigation and draining channels in Podor developed
Senegal,Irrigation and Water Resource Management Project,Land Tenure Services Activity,Outcome: Improved land tenure management on irrigated perimeters
Senegal,Irrigation and Water Resource Management Project,Social Safeguards Measures Activity,"Outcome: social development activities supported (e.g. day care facilities, agricultural storage and information centers, and livestock centers)"
Tanzania,Transport Sector Project,Mainland Roads Activity,Outcome: Reduced transportation costs and travel time; Increased traffic volume by upgrading of up to 430 kilometers of trunk roads
Tanzania,Transport Sector Project,Zanzibar Rural Roads,Outcome: Reduced transportation costs and travel time; Increased traffic volume by upgrading of up to 35 kilometers of rural roads
Tanzania,Transport Sector Project,Road Maintenance Fund,Outcome: funding to improve maintenance management efficiency
Tanzania,Transport Sector Project,Mafia Island Airport Upgrading Activity,Outcome: Increased air passenger traffic
Tanzania,Energy Sector Project,Zanzibar Interconnector Activity,Outcome: Increased reliability of quality power by laying of an approximately 40 km long submarine cable from the mainland to Zanzibar
Tanzania,Energy Sector Project,Malagarasi Hydropower and Kigoma Distribution Activity,
Tanzania,Energy Sector Project,Distribution Systems Rehabilitation and Extension,Outcome: Increased access to reliable quality power by rehabilitating and extending distribution infrastructure
Tanzania,Water Sector Project,Lower Ruvu Plant Expansion Activity,Outcome: Increased access to improved water source by expanding water treatment plant
Tanzania,Water Sector Project,Morogoro Water Supply Activity,Outcome: Increased access to improved water source by expanding water treatment plant and improving water transfer in existing network
Mongolia,Property Rights Project,Peri-Urban Land Leasing Activity,Outcome: optimized peri-urban rangeland carrying capacity and range management
Mongolia,Property Rights Project,Privatization of Ger Area Land Plots Activity and Improvement of Land Privatization and Registration System Activity,Outcome: Increased land right formalization
Mongolia,Vocational Education Project,All Activities,
Mongolia,Vocational Education Project,Reforms to TVET Framework and Operational Framework Activity,Outcome: Improved quality and relevance of TVET System
Mongolia,Vocational Education Project,Skills and Standard Competencies Activity,"Outcome: Establish skills standards and a competency-based qualification training system based on nationally approved units of competency, modules and courses"
Mongolia,Vocational Education Project,Competency Based Training System Activity,Outcome: Implement the new competency-based training system in TVET schools
Mongolia,Vocational Education Project,Career Guidance System Activity,Outcome: Career guidance and employment information services provided to Mongolians
Mongolia,Vocational Education Project,Improvement of Learning Environment Activity,Outcome: Upgrade equipment and technology in practical training sites of selected TVET schools
Mongolia,Health Project,All Non Communicable Diseases and Injuries (NCDI) Activities,
Mongolia,Health Project,NCDI Capacity Building Activity,Outcome: Improved National and local response to NCDI and increased availability of sound services
Mongolia,Health Project,NCDI Early Detection Activity,Outcome: Increased availability of sound services in early detection of NCD
Mongolia,Health Project,NCDI Management Activity,Outcome: Improved National and local response to NCDI
Mongolia,Health Project,NCDI Prevention Activity,Outcome: Increased availability of sound services in understanding and prevention of NCD
Mongolia,North-South Road Project,All Activities,
Mongolia,Energy and Environment Project,Millennium Challenge Energy Efficiency Innovation Facility Activity,"Outcome: (1) Reduced incidence of respiratory-related morbidity, (2) Reduced fuel consumption, (3) Increased energy"
Mongolia,Energy and Environment Project,Wind Activity,Outcome: Substitution of wind power for additional coal-fired power generation capacity and improved power quality.
