indicator_id,compact_year,timeframe,q1,q2,q3,q4,yearly_target,percent_complete
ARMENIA_IRRIGATED AGRICULTURE_0009,5,,,,,17,17,100%
ARMENIA_IRRIGATED AGRICULTURE_0010,1,(Oct-2006 to Sept-2007),,,,,0,
ARMENIA_IRRIGATED AGRICULTURE_0010,2,,,,,,0,
ARMENIA_IRRIGATED AGRICULTURE_0010,3,,,,,,0,
ARMENIA_IRRIGATED AGRICULTURE_0010,4,,,,,,0,
ARMENIA_IRRIGATED AGRICULTURE_0010,5,,,,,49.5,44.5,111%
ARMENIA_IRRIGATED AGRICULTURE_0011,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0011,2,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0011,3,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0011,4,,,,,,2,0%
ARMENIA_IRRIGATED AGRICULTURE_0011,5,,3,5,5,5,4,125%
ARMENIA_IRRIGATED AGRICULTURE_0012,1,(Oct-2006 to Sept-2007),,,,,0,
ARMENIA_IRRIGATED AGRICULTURE_0012,2,,,,,,0,
ARMENIA_IRRIGATED AGRICULTURE_0012,3,,,,,6.5,6.5,100%
ARMENIA_IRRIGATED AGRICULTURE_0012,4,,6.5,12.3,22.1,22.1,120,18%
ARMENIA_IRRIGATED AGRICULTURE_0012,5,,33,49.1,113,232.8,220,106%
ARMENIA_IRRIGATED AGRICULTURE_0013,1,(Oct-2006 to Sept-2007),,,,,0,
ARMENIA_IRRIGATED AGRICULTURE_0013,2,,,,,,0,
ARMENIA_IRRIGATED AGRICULTURE_0013,3,,,,,,0,
ARMENIA_IRRIGATED AGRICULTURE_0013,4,,,,,,0,
ARMENIA_IRRIGATED AGRICULTURE_0013,5,,8,8,9,13,13,100%
ARMENIA_IRRIGATED AGRICULTURE_0014,1,(Oct-2006 to Sept-2007),,,,,0,
ARMENIA_IRRIGATED AGRICULTURE_0014,2,,,,,,0,
ARMENIA_IRRIGATED AGRICULTURE_0014,3,,,,,,0,
ARMENIA_IRRIGATED AGRICULTURE_0014,4,,,,,,0,
ARMENIA_IRRIGATED AGRICULTURE_0014,5,,,,,470,470,100%
ARMENIA_IRRIGATED AGRICULTURE_0015,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0015,2,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0015,3,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0015,4,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0015,5,,,,,"2,389",,
ARMENIA_IRRIGATED AGRICULTURE_0016,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0016,2,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0016,3,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0016,4,,,"4,522,864","4,522,864","4,522,864","4,522,864",100%
ARMENIA_IRRIGATED AGRICULTURE_0016,5,,"4,510,102","4,488,163","4,603,813","4,601,073","4,522,864",102%
ARMENIA_IRRIGATED AGRICULTURE_0017,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0017,2,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0017,3,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0017,4,,,"3,118,502","3,204,944","3,538,118","4,163,465",85%
ARMENIA_IRRIGATED AGRICULTURE_0017,5,,"3,638,488","4,046,887","4,192,193","4,601,073","4,522,864",102%
ARMENIA_IRRIGATED AGRICULTURE_0018,1,(Oct-2006 to Sept-2007),,,,,0,
ARMENIA_IRRIGATED AGRICULTURE_0018,2,,,,,,0,
ARMENIA_IRRIGATED AGRICULTURE_0018,3,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0018,4,,,"93,656,907","88,649,417","95,755,518","93,656,907",102%
ARMENIA_IRRIGATED AGRICULTURE_0018,5,,"100,030,648","100,547,320","105,150,446","106,653,443","93,656,907",114%
ARMENIA_IRRIGATED AGRICULTURE_0019,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0019,2,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0019,3,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0019,4,,,"17,739,397","25,523,032","32,533,996","50,867,348",64%
ARMENIA_IRRIGATED AGRICULTURE_0019,5,,"47,823,241","52,045,944","70,780,890","106,653,443","93,656,907",114%
ARMENIA_IRRIGATED AGRICULTURE_0020,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0020,2,,,,,13-Sep-08,31-May-08,Complete
ARMENIA_IRRIGATED AGRICULTURE_0020,3,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0020,4,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0020,5,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0021,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0021,2,,,,,1-Aug-08,31-May-08,Complete
ARMENIA_IRRIGATED AGRICULTURE_0021,3,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0021,4,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0021,5,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0022,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0022,2,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0022,3,,,,,,30-Sep-09,Pending
ARMENIA_IRRIGATED AGRICULTURE_0022,4,,,30-Mar-10,,,,Complete
ARMENIA_IRRIGATED AGRICULTURE_0022,5,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0023,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0023,2,,,,,,26-Sep-08,Pending
ARMENIA_IRRIGATED AGRICULTURE_0023,3,,,20-Feb-09,,,,Complete
ARMENIA_IRRIGATED AGRICULTURE_0023,4,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0023,5,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0024,1,(Oct-2006 to Sept-2007),,,,97,0,
ARMENIA_IRRIGATED AGRICULTURE_0024,2,,97,97,97,"10,088","1,566",644%
ARMENIA_IRRIGATED AGRICULTURE_0024,3,,"10,088","10,088","10,088","16,358","9,977",164%
ARMENIA_IRRIGATED AGRICULTURE_0024,4,,"16,358","16,358","16,358","21,741","19,032",114%
ARMENIA_IRRIGATED AGRICULTURE_0024,5,,"21,741","21,741","21,741","26,424","25,954",102%
ARMENIA_IRRIGATED AGRICULTURE_0025,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0025,2,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0025,3,,,,,"1,546",,
ARMENIA_IRRIGATED AGRICULTURE_0025,4,,"1,546","1,546","1,546","7,475",,
ARMENIA_IRRIGATED AGRICULTURE_0025,5,,"7,475","7,475","7,475","7,816",,
ARMENIA_IRRIGATED AGRICULTURE_0026,1,(Oct-2006 to Sept-2007),,,,,0,
ARMENIA_IRRIGATED AGRICULTURE_0026,2,,,,,0,0,
ARMENIA_IRRIGATED AGRICULTURE_0026,3,,0,0,0,"7,308","1,913",382%
ARMENIA_IRRIGATED AGRICULTURE_0026,4,,"7,308","7,308","7,308","16,624","9,622",173%
ARMENIA_IRRIGATED AGRICULTURE_0026,5,,"16,624","16,624","16,624","27,211","18,858",144%
ARMENIA_IRRIGATED AGRICULTURE_0027,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0027,2,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0027,3,,,,,"2,399",,
ARMENIA_IRRIGATED AGRICULTURE_0027,4,,"2,399","2,399","2,399","6,891",,
ARMENIA_IRRIGATED AGRICULTURE_0027,5,,"6,891","6,891","6,891","7,881",,
ARMENIA_IRRIGATED AGRICULTURE_0028,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0028,2,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0028,3,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0028,4,,,,,,100,0%
ARMENIA_IRRIGATED AGRICULTURE_0028,5,,,,,178,112,159%
ARMENIA_IRRIGATED AGRICULTURE_0029,1,(Oct-2006 to Sept-2007),,,"1,071","2,453","2,453",100%
ARMENIA_IRRIGATED AGRICULTURE_0029,2,,"5,066","8,186","12,372","15,576","15,574",100%
ARMENIA_IRRIGATED AGRICULTURE_0029,3,,"19,072","23,299","27,526","30,159","29,700",102%
ARMENIA_IRRIGATED AGRICULTURE_0029,4,,"33,519","38,627","42,451","43,821","40,500",108%
ARMENIA_IRRIGATED AGRICULTURE_0029,5,,"45,639","45,639","45,639","45,639","45,000",101%
ARMENIA_IRRIGATED AGRICULTURE_0030,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0030,2,,,,,"4,123",,
ARMENIA_IRRIGATED AGRICULTURE_0030,3,,"4,123","4,123","5,346","8,695",,
ARMENIA_IRRIGATED AGRICULTURE_0030,4,,"10,347","11,874","13,532","14,057",,
ARMENIA_IRRIGATED AGRICULTURE_0030,5,,"14,352","14,509","14,520","14,520",,
ARMENIA_IRRIGATED AGRICULTURE_0031,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0031,2,,243,520,"1,502","3,010","2,982",101%
ARMENIA_IRRIGATED AGRICULTURE_0031,3,,"5,067","7,688","12,564","15,437","15,000",103%
ARMENIA_IRRIGATED AGRICULTURE_0031,4,,"22,628","27,389","28,707","31,960","29,400",109%
ARMENIA_IRRIGATED AGRICULTURE_0031,5,,"33,746","34,273","36,070","36,070","36,000",100%
ARMENIA_IRRIGATED AGRICULTURE_0032,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0032,2,,,,,800,,
ARMENIA_IRRIGATED AGRICULTURE_0032,3,,800,800,"1,446","4,544",,
ARMENIA_IRRIGATED AGRICULTURE_0032,4,,"6,326","8,026","9,849","11,151",,
ARMENIA_IRRIGATED AGRICULTURE_0032,5,,"11,451","11,745","12,189","12,189",,
ARMENIA_IRRIGATED AGRICULTURE_0033,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0033,2,,6,18,36,60,60,100%
ARMENIA_IRRIGATED AGRICULTURE_0033,3,,70,89,105,120,130,92%
ARMENIA_IRRIGATED AGRICULTURE_0033,4,,141,157,180,212,200,106%
ARMENIA_IRRIGATED AGRICULTURE_0033,5,,221,221,223,227,225,101%
ARMENIA_IRRIGATED AGRICULTURE_0034,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0034,2,,,,,31-Sep-2008,31-Sep-2008,Complete
ARMENIA_IRRIGATED AGRICULTURE_0034,3,,,,,,31-Sep-2009,Pending
ARMENIA_IRRIGATED AGRICULTURE_0034,4,,7-Dec-09,,,, 31-Sep-2010 ,Complete
ARMENIA_IRRIGATED AGRICULTURE_0034,5,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0035,1,(Oct-2006 to Sept-2007),,,,,0,
ARMENIA_IRRIGATED AGRICULTURE_0035,2,,,,"256,109","1,203,348","3,500,000",34%
ARMENIA_IRRIGATED AGRICULTURE_0035,3,,"1,500,363","1,500,363","2,124,936","4,165,857","7,000,000",60%
ARMENIA_IRRIGATED AGRICULTURE_0035,4,,"6,134,100","6,497,951","8,293,234","10,461,288","8,500,000",123%
ARMENIA_IRRIGATED AGRICULTURE_0035,5,,"10,650,180","11,677,218","12,160,950","12,700,142","8,500,000",149%
ARMENIA_IRRIGATED AGRICULTURE_0036,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0036,2,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0036,3,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0036,4,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0036,5,,,,,"1,008",N/A,
ARMENIA_IRRIGATED AGRICULTURE_0037,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0037,2,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0037,3,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0037,4,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0037,5,,,,,105,N/A,
ARMENIA_IRRIGATED AGRICULTURE_0038,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0038,2,,,,,,29-Sep-2008,Pending
ARMENIA_IRRIGATED AGRICULTURE_0038,3,,,,30-Apr-09,,,Complete
ARMENIA_IRRIGATED AGRICULTURE_0038,4,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0038,5,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0039,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0039,2,,,22-Feb-08,,,22-Feb-2008,Complete
ARMENIA_IRRIGATED AGRICULTURE_0039,3,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0039,4,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0039,5,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0040,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0040,2,,,,,,9-Apr-2008,Pending
ARMENIA_IRRIGATED AGRICULTURE_0040,3,,18-Dec-08,,,,,Complete
ARMENIA_IRRIGATED AGRICULTURE_0040,4,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0040,5,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0041,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0041,2,,,,,,9-Jun-2008,Pending
ARMENIA_IRRIGATED AGRICULTURE_0041,3,,18-Dec-08,,,,,Complete
ARMENIA_IRRIGATED AGRICULTURE_0041,4,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0041,5,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0042,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0042,2,,16-Oct-07,,,,16-Oct-2007,Complete
ARMENIA_IRRIGATED AGRICULTURE_0042,3,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0042,4,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0042,5,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0043,1,(Oct-2006 to Sept-2007),,,,38,36.7,
ARMENIA_IRRIGATED AGRICULTURE_0043,2,,,,,41.0,38,331%
ARMENIA_IRRIGATED AGRICULTURE_0043,3,,,,,41.3,42,87%
ARMENIA_IRRIGATED AGRICULTURE_0043,4,,,,,48.1,53,70%
ARMENIA_IRRIGATED AGRICULTURE_0043,5,,,,,47.5,60,46%
ARMENIA_IRRIGATED AGRICULTURE_0044,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0044,2,,,,,69.0,,
ARMENIA_IRRIGATED AGRICULTURE_0044,3,,,,,69.3,51,136%
ARMENIA_IRRIGATED AGRICULTURE_0044,4,,,,,70.8,53,693%
ARMENIA_IRRIGATED AGRICULTURE_0044,5,,,,,67.1,55,342%
ARMENIA_IRRIGATED AGRICULTURE_0045,1,(Oct-2006 to Sept-2007),,,,,0,
ARMENIA_IRRIGATED AGRICULTURE_0045,2,,,,,,0,
ARMENIA_IRRIGATED AGRICULTURE_0045,3,,,,,8,0.001,
ARMENIA_IRRIGATED AGRICULTURE_0045,4,,,,,9.8,5,196%
ARMENIA_IRRIGATED AGRICULTURE_0045,5,,,,,,15,0%
ARMENIA_IRRIGATED AGRICULTURE_0046,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0046,2,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0046,3,,,8,8,26,26,100%
ARMENIA_IRRIGATED AGRICULTURE_0046,4,,30,44,44,44,44,100%
ARMENIA_IRRIGATED AGRICULTURE_0046,5,,44,44,44,44,44,100%
ARMENIA_IRRIGATED AGRICULTURE_0047,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0047,2,,,,,,31-Jul-2008,Pending
ARMENIA_IRRIGATED AGRICULTURE_0047,3,,,,,30-Sep-09,,Complete
ARMENIA_IRRIGATED AGRICULTURE_0047,4,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0047,5,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0048,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0048,2,,,,,,18-Apr-2008,Pending
ARMENIA_IRRIGATED AGRICULTURE_0048,3,,5-Dec-08,,,,,Complete
ARMENIA_IRRIGATED AGRICULTURE_0048,4,,,,,,,
ARMENIA_IRRIGATED AGRICULTURE_0048,5,,,,,,,
ARMENIA_ROAD REHABILITATION_0001,1,(Oct-2006 to Sept-2007),,,,13,14.16,
ARMENIA_ROAD REHABILITATION_0001,2,,,,,3.47,4,105%
ARMENIA_ROAD REHABILITATION_0001,3,,,,,,,
ARMENIA_ROAD REHABILITATION_0001,4,,,,,,,
ARMENIA_ROAD REHABILITATION_0001,5,,,,,,,
ARMENIA_ROAD REHABILITATION_0002,1,(Oct-2006 to Sept-2007),,,,,637,
ARMENIA_ROAD REHABILITATION_0002,2,,,,,735,706,142%
ARMENIA_ROAD REHABILITATION_0002,3,,,,,,,
ARMENIA_ROAD REHABILITATION_0002,4,,,,,,,
ARMENIA_ROAD REHABILITATION_0002,5,,,,,,,
ARMENIA_ROAD REHABILITATION_0003,1,(Oct-2006 to Sept-2007),,,,"1,533,000","1,010,000",152%
ARMENIA_ROAD REHABILITATION_0003,2,,,,,"3,150,000","3,150,000",100%
ARMENIA_ROAD REHABILITATION_0003,3,,,"7,227,000",,,"3,310,000",218%
ARMENIA_ROAD REHABILITATION_0003,4,,,,,,,
ARMENIA_ROAD REHABILITATION_0003,5,,,,,"5,814,080",,
ARMENIA_ROAD REHABILITATION_0004,1,(Oct-2006 to Sept-2007),,,,"5,051,000","5,020,000",101%
ARMENIA_ROAD REHABILITATION_0004,2,,,,,"5,990,000","5,990,000",100%
ARMENIA_ROAD REHABILITATION_0004,3,,,"6,656,000",,,"6,290,000",106%
ARMENIA_ROAD REHABILITATION_0004,4,,,,,,,
ARMENIA_ROAD REHABILITATION_0004,5,,,,,"6,308,961",,
ARMENIA_ROAD REHABILITATION_0005,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_ROAD REHABILITATION_0005,2,,,,,,,
ARMENIA_ROAD REHABILITATION_0005,3,,24.4,24.4,24.4,24.4,24.4,100%
ARMENIA_ROAD REHABILITATION_0005,4,,24.4,24.4,24.4,24.4,24.4,100%
ARMENIA_ROAD REHABILITATION_0005,5,,24.4,24.4,24.4,24.4,24.4,100%
ARMENIA_ROAD REHABILITATION_0006,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_ROAD REHABILITATION_0006,2,,18-Oct-2007,,,,18-Oct-2007,Complete
ARMENIA_ROAD REHABILITATION_0006,3,,,,,,,
ARMENIA_ROAD REHABILITATION_0006,4,,,,,,,
ARMENIA_ROAD REHABILITATION_0006,5,,,,,,,
ARMENIA_ROAD REHABILITATION_0007,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_ROAD REHABILITATION_0007,2,,,,23-Apr-2008,,3-Apr-2008,Complete
ARMENIA_ROAD REHABILITATION_0007,3,,,,,,,
ARMENIA_ROAD REHABILITATION_0007,4,,,,,,,
ARMENIA_ROAD REHABILITATION_0007,5,,,,,,,
ARMENIA_ROAD REHABILITATION_0008,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_ROAD REHABILITATION_0008,2,,,,,1-Sept-2008,30-Apr-2008,Complete
ARMENIA_ROAD REHABILITATION_0008,3,,,,,,,
ARMENIA_ROAD REHABILITATION_0008,4,,,,,,,
ARMENIA_ROAD REHABILITATION_0008,5,,,,,,,
ARMENIA_ROAD REHABILITATION_0009,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_ROAD REHABILITATION_0009,2,,,,26-May-2008,,30-Apr-2008,Complete
ARMENIA_ROAD REHABILITATION_0009,3,,,,,,,
ARMENIA_ROAD REHABILITATION_0009,4,,,,,,,
ARMENIA_ROAD REHABILITATION_0009,5,,,,,,,
ARMENIA_ROAD REHABILITATION_0010,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_ROAD REHABILITATION_0010,2,,,,,,25,0%
ARMENIA_ROAD REHABILITATION_0010,3,,16,16,20,20,,
ARMENIA_ROAD REHABILITATION_0010,4,,20,20,20,20,,
ARMENIA_ROAD REHABILITATION_0010,5,,20,20,20,20,,
ARMENIA_ROAD REHABILITATION_0011,1,(Oct-2006 to Sept-2007),,,,,,
ARMENIA_ROAD REHABILITATION_0011,2,,,,,,50,0%
ARMENIA_ROAD REHABILITATION_0011,3,,90,95,95,95,90,106%
ARMENIA_ROAD REHABILITATION_0011,4,,90,90,90,100,100,100%
ARMENIA_ROAD REHABILITATION_0011,5,,100,100,100,100,,
CAPE VERDE_ALL PROJECTS AND ACTIVITIES_0001,1,(Oct-2006 to Sept-2007),,,,,,
CAPE VERDE_ALL PROJECTS AND ACTIVITIES_0001,2,,,,,,,
CAPE VERDE_ALL PROJECTS AND ACTIVITIES_0001,3,,,,,,,
CAPE VERDE_ALL PROJECTS AND ACTIVITIES_0001,4,,,,,,,
CAPE VERDE_ALL PROJECTS AND ACTIVITIES_0001,5,,,,,,6.9,
CAPE VERDE_INFRASTRUCTURE_0001,1,(Oct-2005 to Sept-2006),,,,,,
CAPE VERDE_INFRASTRUCTURE_0001,2,,,,,,,
CAPE VERDE_INFRASTRUCTURE_0001,3,,"3,358,921","3,360,000","3,360,000","10,000,003",,
CAPE VERDE_INFRASTRUCTURE_0001,4,,"6,573,433","6,573,433","6,573,433","6,573,433",,
CAPE VERDE_INFRASTRUCTURE_0001,5,,"6,570,000","6,570,000","6,570,000","7,190,000",,
CAPE VERDE_INFRASTRUCTURE_0002,1,(Oct-2005 to Sept-2006),,,,,,
CAPE VERDE_INFRASTRUCTURE_0002,2,,,,"701,049","1,400,229",,
CAPE VERDE_INFRASTRUCTURE_0002,3,,"1,898,995","1,900,000","3,131,649","3,791,681",,
CAPE VERDE_INFRASTRUCTURE_0002,4,,"4,186,879","4,514,760","4,991,132","5,206,504",,
CAPE VERDE_INFRASTRUCTURE_0002,5,,"5,645,249","5,909,668","6,100,000","6,420,000",,
CAPE VERDE_INFRASTRUCTURE_0003,1,(Oct-2005 to Sept-2006),,,,,,
CAPE VERDE_INFRASTRUCTURE_0003,2,,,,20.9,41.7,,
CAPE VERDE_INFRASTRUCTURE_0003,3,,56.5,56.5,93.2,37.9,,
CAPE VERDE_INFRASTRUCTURE_0003,4,,63.7,68.7,75.9,79.2,49,162%
